1000    14701    14699 14695    13943 14299 14492 14594  14790 14889 15095 15485    12843 16796    113903 337
1000    14801    14798 14795    14037 14394 14589 14690  14894 14989 15196 15589    12897 16810    115847 340
1000    14901    14898 14892    14132 14489 14690 14790  14990 15090 15301 15701    13012 16891    117336 342
1000    15001    14998 14992    14225 14588 14790 14891  15088 15189 15402 15809    13058 16934    118932 344
1000    15101    15098 15092    14321 14689 14892 14992  15191 15293 15507 15923    13195 16954    120918 347
1000    15201    15199 15193    14419 14786 14990 15092  15286 15397 15610 16023    13387 17186    123109 350
1000    15301    15299 15292    14512 14884 15088 15193  15389 15494 15713 16131    13477 17329    124643 353
1000    15401    15399 15390    14597 14979 15187 15289  15494 15595 15814 16233    13545 17393    126297 355
1000    15501    15499 15492    14692 15079 15283 15391  15593 15699 15920 16346    13628 17577    128203 358
1000    15601    15599 15592    14779 15175 15383 15489  15690 15798 16018 16448    13705 17586    129342 359
1000    15701    15699 15693    14885 15275 15481 15592  15792 15897 16122 16558    13792 17667    130764 361
1000    15801    15798 15793    14983 15368 15581 15688  15892 15995 16225 16660    13997 17728    132566 364
1000    15901    15898 15892    15075 15468 15681 15789  15997 16097 16326 16764    14130 17840    133715 365
1000    16001    15998 15994    15164 15567 15779 15890  16096 16200 16432 16862    14160 17915    135946 368
1000    16101    16098 16091    15261 15663 15879 15984  16197 16301 16529 16976    14260 17985    137980 371
1000    16201    16197 16188    15357 15757 15979 16080  16292 16399 16635 17089    14367 18071    139653 373
1000    16301    16297 16283    15454 15857 16075 16179  16394 16496 16737 17195    14430 18301    141788 376
1000    16401    16397 16386    15553 15955 16175 16278  16493 16599 16841 17293    14521 18405    143756 379
1000    16501    16497 16485    15647 16048 16275 16376  16592 16700 16938 17389    14587 18573    144824 380
1000    16601    16597 16581    15747 16148 16373 16478  16693 16804 17040 17499    14744 18591    145922 381
1000    16701    16698 16683    15844 16245 16476 16581  16792 16907 17147 17607    14798 18712    148062 384
1000    16801    16798 16784    15937 16339 16572 16678  16897 17003 17247 17711    14913 19007    150092 387
1000    16901    16899 16887    16028 16442 16672 16780  16995 17106 17352 17817    14949 19298    151713 389
1000    17001    16998 16985    16131 16536 16766 16880  17090 17205 17453 17918    14952 19447    153736 392
